Condition,Drug,Indication,Type,Reviews,Effective,EaseOfUse,Satisfaction,Information
depression,Amitriptyline,On Label,RX,1126 Reviews,3.53,4.29,3.15,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. You can buy amitriptyline hcl at the discounted price of $11.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Nortriptyline,On Label,RX,452 Reviews,3.34,4.01,3.02,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. You can buy nortriptyline hcl at the discounted price of $13.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Amitriptyline,On Label,RX,409 Reviews,3.36,4.15,3.02,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. You can buy amitriptyline hcl at the discounted price of $11.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Doxepin,On Label,RX,241 Reviews,3.71,4.52,3.4,"
					 This is a generic drug. The average cash price for 30 Capsule(s), 10mg each of the generic (doxepin hcl) is $13.17. You can buy doxepin hcl at the discounted price of $12.29 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Doxepin,On Label,RX,241 Reviews,3.71,4.52,3.4,"
					 This is a generic drug. The average cash price for 30 Capsule(s), 10mg each of the generic (doxepin hcl) is $13.17. You can buy doxepin hcl at the discounted price of $12.29 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Doxepin,On Label,RX,241 Reviews,3.71,4.52,3.4,"
					 This is a generic drug. The average cash price for 30 Capsule(s), 10mg each of the generic (doxepin hcl) is $13.17. You can buy doxepin hcl at the discounted price of $12.29 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Fluvoxamine,Off Label,RX,139 Reviews,3.61,4.12,3.35,"
					Fluvoxamine is used to treat obsessive-compulsive disorder (OCD). This is a generic drug. The average cash price for 30 Tablet(s), 100mg  each, is $80.49. You can buy fluvoxamine maleate at the discounted price of $36.05 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Nortriptyline,On Label,RX,120 Reviews,3.31,3.89,3.05,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. You can buy nortriptyline hcl at the discounted price of $13.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Imipramine Hcl,On Label,RX,103 Reviews,3.21,3.58,3.04,"
					This medication is used to treat depression. This is a generic drug. You can buy imipramine hcl at the discounted price of $11.80 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Phenelzine,On Label,RX,88 Reviews,4.36,4.28,4.2,"
					Phenelzine is an antidepressant (monoamine oxidase inhibitor). This is a generic drug. The average cash price for 90 Tablet(s), 15mg each of the generic (phenelzine sulfate) is $79.59. You can buy phenelzine sulfate at the discounted price of $33.35 by using the WebMDRx coupon, a savings of 58%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Fluvoxamine,Off Label,RX,59 Reviews,3.83,4.07,3.59,"
					Fluvoxamine is used to treat obsessive-compulsive disorder (OCD). This is a generic drug. The average cash price for 30 Tablet(s), 100mg  each, is $80.49. You can buy fluvoxamine maleate at the discounted price of $36.05 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Clomipramine,Off Label,RX,58 Reviews,3.71,3.89,3.29,"
					Clomipramine is used to treat obsessive compulsive disorder (OCD). This is a generic drug. The average cash price for 30 Capsule(s), 25mg each of the generic (clomipramine hcl) is $208.99. You can buy clomipramine hcl at the discounted price of $174.93 by using the WebMDRx coupon, a savings of 16%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Clomipramine,Off Label,RX,58 Reviews,3.67,4.18,3.39,"
					Clomipramine is used to treat obsessive compulsive disorder (OCD). This is a generic drug. The average cash price for 30 Capsule(s), 25mg each of the generic (clomipramine hcl) is $208.99. You can buy clomipramine hcl at the discounted price of $174.93 by using the WebMDRx coupon, a savings of 16%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Fluvoxamine,Off Label,RX,53 Reviews,3.73,4.33,3.7,"
					Fluvoxamine is used to treat obsessive-compulsive disorder (OCD). This is a generic drug. The average cash price for 30 Tablet(s), 100mg  each, is $80.49. You can buy fluvoxamine maleate at the discounted price of $36.05 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Fluvoxamine,Off Label,RX,53 Reviews,3.73,4.33,3.7,"
					Fluvoxamine is used to treat obsessive-compulsive disorder (OCD). This is a generic drug. The average cash price for 30 Tablet(s), 100mg  each, is $80.49. You can buy fluvoxamine maleate at the discounted price of $36.05 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Desipramine,On Label,RX,48 Reviews,3.18,4.53,2.88,"
					Desipramine is used to treat depression. This is a generic drug. The average cash price for 30 Tablet(s), 25mg each of the generic (desipramine hcl) is $41.99. You can buy desipramine hcl at the discounted price of $24.26 by using the WebMDRx coupon, a savings of 42%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Amitriptyline,On Label,RX,33 Reviews,2.8,3.9,2.4,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. You can buy amitriptyline hcl at the discounted price of $11.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Doxepin,On Label,RX,32 Reviews,3.13,4,3,"
					 This is a generic drug. The average cash price for 30 Capsule(s), 10mg each of the generic (doxepin hcl) is $13.17. You can buy doxepin hcl at the discounted price of $12.29 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Doxepin,On Label,RX,32 Reviews,3.13,4,3,"
					 This is a generic drug. The average cash price for 30 Capsule(s), 10mg each of the generic (doxepin hcl) is $13.17. You can buy doxepin hcl at the discounted price of $12.29 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Desipramine,On Label,RX,23 Reviews,4,4.23,3.46,"
					Desipramine is used to treat depression. This is a generic drug. The average cash price for 30 Tablet(s), 25mg each of the generic (desipramine hcl) is $41.99. You can buy desipramine hcl at the discounted price of $24.26 by using the WebMDRx coupon, a savings of 42%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Imipramine Pamoate,On Label,RX,22 Reviews,2.82,3.55,2.82,"
					This medication is used to treat depression. This is a generic drug. The average cash price for 30 Capsule(s), 75mg  each, is $419.99. You can buy imipramine pamoate at the discounted price of $183.36 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Imipramine Pamoate,On Label,RX,16 Reviews,3.45,4.45,3,"
					This medication is used to treat depression. This is a generic drug. The average cash price for 30 Capsule(s), 75mg  each, is $419.99. You can buy imipramine pamoate at the discounted price of $183.36 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Nortriptyline,On Label,RX,15 Reviews,3,4,2.88,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. You can buy nortriptyline hcl at the discounted price of $13.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Protriptyline,On Label,RX,11 Reviews,3.63,4.75,3.63,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. The average cash price for 30 Tablet(s), 5mg  each, is $156.99. You can buy protriptyline hcl at the discounted price of $45.13 by using the WebMDRx coupon, a savings of 71%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Protriptyline,On Label,RX,8 Reviews,3.33,4.5,3.5,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. The average cash price for 30 Tablet(s), 5mg  each, is $156.99. You can buy protriptyline hcl at the discounted price of $45.13 by using the WebMDRx coupon, a savings of 71%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Maprotiline,On Label,RX,7 Reviews,3.2,3.4,3.2,"
					This medication is used to treat various types of depression and related anxiety. This is a generic drug. The average cash price for 30 Tablet(s), 50mg  each, is $71.99. You can buy maprotiline hcl at the discounted price of $48.10 by using the WebMDRx coupon, a savings of 33%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Phenelzine,On Label,RX,6 Reviews,3,3.5,2.5,"
					Phenelzine is an antidepressant (monoamine oxidase inhibitor). This is a generic drug. The average cash price for 90 Tablet(s), 15mg each of the generic (phenelzine sulfate) is $79.59. You can buy phenelzine sulfate at the discounted price of $33.35 by using the WebMDRx coupon, a savings of 58%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Maprotiline,On Label,RX,6 Reviews,4.5,3.25,4.25,"
					This medication is used to treat various types of depression and related anxiety. This is a generic drug. The average cash price for 30 Tablet(s), 50mg  each, is $71.99. You can buy maprotiline hcl at the discounted price of $48.10 by using the WebMDRx coupon, a savings of 33%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Doxepin,On Label,RX,4 Reviews,5,5,5,"
					 This is a generic drug. The average cash price for 30 Capsule(s), 10mg each of the generic (doxepin hcl) is $13.17. You can buy doxepin hcl at the discounted price of $12.29 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Amoxapine,On Label,RX,4 Reviews,4,5,3.5,"
					This medication is used to treat depression. This is a generic drug. The average cash price for 60 Tablet(s), 25mg  each, is $47.39. You can buy amoxapine at the discounted price of $41.42 by using the WebMDRx coupon, a savings of 13%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Amoxapine,On Label,RX,2 Reviews,5,5,5,"
					This medication is used to treat depression. This is a generic drug. The average cash price for 60 Tablet(s), 25mg  each, is $47.39. You can buy amoxapine at the discounted price of $41.42 by using the WebMDRx coupon, a savings of 13%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
depression,Amitriptyline,On Label,RX,1 Reviews,3,4,3,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. You can buy amitriptyline hcl at the discounted price of $11.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,629 Reviews,3.9,3.22,3.11,"
					This medication is used on the skin to treat a certain skin disorder known as rosacea, a type of adult acne. This is a generic drug. The average cash price for 14 Tablet(s), 500mg each of the generic (metronidazole) is $19.99. You can buy metronidazole at the discounted price of $6.00 by using the WebMDRx coupon, a savings of 70%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,"Ciprofloxacin Hcl, Ciprofloxacin",Off Label,RX,627 Reviews,3.06,3.18,2.12,"
					This medication is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 14 Tablet(s), 500mg each of the generic (ciprofloxacin hcl) is $18.75. You can buy ciprofloxacin hcl at the discounted price of $8.51 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,"Ciprofloxacin Hcl, Ciprofloxacin",Off Label,RX,627 Reviews,3.06,3.18,2.12,"
					This medication is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 14 Tablet(s), 500mg each of the generic (ciprofloxacin hcl) is $18.75. You can buy ciprofloxacin hcl at the discounted price of $8.51 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,580 Reviews,3.03,2.88,2.16,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 800-160mg each of the generic (sulfamethoxazole-trimethoprim) is $15.99. You can buy sulfamethoxazole-trimethoprim at the discounted price of $8.15 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,562 Reviews,3.78,3.09,2.73,"
					This medication is used on the skin to treat a certain skin disorder known as rosacea, a type of adult acne. This is a generic drug. The average cash price for 14 Tablet(s), 500mg each of the generic (metronidazole) is $19.99. You can buy metronidazole at the discounted price of $6.00 by using the WebMDRx coupon, a savings of 70%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Ciprofloxacin,Off Label,RX,538 Reviews,3.59,3.78,2.75,"
					 This is a brand name drug and a generic may be available. The average cash price for 14 Tablet(s), 500mg each of the generic (ciprofloxacin hcl) is $18.75. You can buy ciprofloxacin hcl at the discounted price of $8.51 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Ciprofloxacin,Off Label,RX,538 Reviews,3.59,3.78,2.75,"
					 This is a brand name drug and a generic may be available. The average cash price for 14 Tablet(s), 500mg each of the generic (ciprofloxacin hcl) is $18.75. You can buy ciprofloxacin hcl at the discounted price of $8.51 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,437 Reviews,3.26,3.23,2.42,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,437 Reviews,3.26,3.23,2.42,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,437 Reviews,3.26,3.23,2.42,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,256 Reviews,2.95,3.2,2.14,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 800-160mg each of the generic (sulfamethoxazole-trimethoprim) is $15.99. You can buy sulfamethoxazole-trimethoprim at the discounted price of $8.15 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,239 Reviews,3.19,3.25,2.28,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 800-160mg each of the generic (sulfamethoxazole-trimethoprim) is $15.99. You can buy sulfamethoxazole-trimethoprim at the discounted price of $8.15 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,239 Reviews,3.19,3.25,2.28,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 800-160mg each of the generic (sulfamethoxazole-trimethoprim) is $15.99. You can buy sulfamethoxazole-trimethoprim at the discounted price of $8.15 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,144 Reviews,3,3.72,2.62,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 800-160mg each of the generic (sulfamethoxazole-trimethoprim) is $15.99. You can buy sulfamethoxazole-trimethoprim at the discounted price of $8.15 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,140 Reviews,2.74,3.04,2.12,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,140 Reviews,2.74,3.04,2.12,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,140 Reviews,2.74,3.04,2.12,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,140 Reviews,2.74,3.04,2.12,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,138 Reviews,3,2.83,2.38,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 800-160mg each of the generic (sulfamethoxazole-trimethoprim) is $15.99. You can buy sulfamethoxazole-trimethoprim at the discounted price of $8.15 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,138 Reviews,3,2.83,2.38,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 800-160mg each of the generic (sulfamethoxazole-trimethoprim) is $15.99. You can buy sulfamethoxazole-trimethoprim at the discounted price of $8.15 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Hydrochlorothiazide,On Label,RX,853 Reviews,3.3,3.96,2.77,"
					This medication is used to treat high blood pressure. This is a generic drug. The average cash price for 30 Tablet(s), 25mg each of the generic (hydrochlorothiazide) is $11.99. You can buy hydrochlorothiazide at the discounted price of $3.00 by using the WebMDRx coupon, a savings of 75%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Spironolactone,On Label,RX,378 Reviews,3.88,4.36,3.5,"
					 This is a generic drug. The average cash price for 30 Tablet(s), 25mg each of the generic (spironolactone) is $23.39. You can buy spironolactone at the discounted price of $7.49 by using the WebMDRx coupon, a savings of 68%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Furosemide,On Label,RX,224 Reviews,3.05,4.16,2.97,"
					This medication is known as a diuretic (like a ""water pill""). This is a generic drug. The average cash price for 30 Tablet(s), 20mg each of the generic (furosemide) is $11.99. You can buy furosemide at the discounted price of $6.75 by using the WebMDRx coupon, a savings of 44%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Furosemide,On Label,RX,224 Reviews,3.05,4.16,2.97,"
					This medication is known as a diuretic (like a ""water pill""). This is a generic drug. The average cash price for 30 Tablet(s), 20mg each of the generic (furosemide) is $11.99. You can buy furosemide at the discounted price of $6.75 by using the WebMDRx coupon, a savings of 44%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Furosemide,On Label,RX,196 Reviews,3.21,4.01,2.99,"
					This medication is known as a diuretic (like a ""water pill""). This is a generic drug. The average cash price for 30 Tablet(s), 20mg each of the generic (furosemide) is $11.99. You can buy furosemide at the discounted price of $6.75 by using the WebMDRx coupon, a savings of 44%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Furosemide,On Label,RX,196 Reviews,3.21,4.01,2.99,"
					This medication is known as a diuretic (like a ""water pill""). This is a generic drug. The average cash price for 30 Tablet(s), 20mg each of the generic (furosemide) is $11.99. You can buy furosemide at the discounted price of $6.75 by using the WebMDRx coupon, a savings of 44%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Triamterene-Hydrochlorothiazid,On Label,RX,155 Reviews,3.88,4.24,3.45,"
					This drug is used to treat high blood pressure. This is a generic drug. The average cash price for 30 Tablet(s), 37.5-25mg each of the generic (triamterene-hctz) is $11.49. You can buy triamterene-hctz at the discounted price of $8.49 by using the WebMDRx coupon, a savings of 26%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Acetazolamide,On Label,RX,113 Reviews,3.52,3.41,2.97,"
					 This is a generic drug. The average cash price for 30 Tablet(s), 250mg  each, is $70.49. You can buy acetazolamide at the discounted price of $55.83 by using the WebMDRx coupon, a savings of 21%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Acetazolamide,On Label,RX,95 Reviews,3.69,3.27,2.81,"
					 This is a generic drug. The average cash price for 30 Tablet(s), 250mg  each, is $70.49. You can buy acetazolamide at the discounted price of $55.83 by using the WebMDRx coupon, a savings of 21%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Spironolactone,On Label,RX,79 Reviews,3.95,4.4,3.25,"
					 This is a generic drug. The average cash price for 30 Tablet(s), 25mg each of the generic (spironolactone) is $23.39. You can buy spironolactone at the discounted price of $7.49 by using the WebMDRx coupon, a savings of 68%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Triamterene-Hydrochlorothiazid,On Label,RX,74 Reviews,3.83,4.46,3.31,"
					This drug is used to treat high blood pressure. This is a generic drug. The average cash price for 30 Tablet(s), 37.5-25mg each of the generic (triamterene-hctz) is $11.49. You can buy triamterene-hctz at the discounted price of $8.49 by using the WebMDRx coupon, a savings of 26%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Chlorthalidone,On Label,RX,70 Reviews,3.02,3.9,2.25,"
					Chlorthalidone is used to treat high blood pressure (hypertension). This is a generic drug. The average cash price for 30 Tablet(s), 25mg  each, is $37.99. You can buy chlorthalidone at the discounted price of $18.49 by using the WebMDRx coupon, a savings of 51%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Torsemide,On Label,RX,43 Reviews,3.85,4.1,3.1,"
					Torsemide is used to reduce extra fluid in the body (edema) caused by conditions such as heart failure, liver disease, and kidney disease. This is a generic drug. The average cash price for 30 Tablet(s), 20mg each of the generic (torsemide) is $25.99. You can buy torsemide at the discounted price of $13.76 by using the WebMDRx coupon, a savings of 47%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Triamterene-Hydrochlorothiazid,On Label,RX,38 Reviews,3.46,4.21,3.18,"
					This drug is used to treat high blood pressure. This is a generic drug. The average cash price for 30 Tablet(s), 37.5-25mg each of the generic (triamterene-hctz) is $11.49. You can buy triamterene-hctz at the discounted price of $8.49 by using the WebMDRx coupon, a savings of 26%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
edema,Bumetanide,On Label,RX,34 Reviews,3.78,4.17,3.61,"
					Bumetanide is used to reduce extra fluid in the body (edema) caused by conditions such as congestive heart failure, liver disease, and kidney disease. This is a generic drug. The average cash price for 30 Tablet(s), 1mg each of the generic (bumetanide) is $66.99. You can buy bumetanide at the discounted price of $24.49 by using the WebMDRx coupon, a savings of 63%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
